Designator,Mid X,Mid Y,Rotation,Layer
C1,126.111606,-110.082974,0,top
C3,137.811202,-120.17591,180,top
C4,117.170189,-129.094923,0,top
C5,114.192946,-127.043379,0,top
C6,132.503557,-128.17143,0,top
C7,105.851581,-121.015201,90,top
C8,175.898826,-122.200496,180,top
C9,177.425555,-125.657891,0,top
,,,,
,,,,
C12,122.835379,-105.9129,0,top
C13,146.50386,-123.906164,180,top
C15,154.155505,-113.382923,0,top
C16,170.136898,-124.590822,180,top
C17,156.675334,-127.79519,0,top
C18,120.480904,-111.862167,180,top
C19,115.400904,-111.862167,0,top
D2,178.357007,-115.27172,90,top
D4,145.909392,-118.352629,180,top
D5,117.40018,-117.898987,0,top
,,,,
J1,121.876898,-76.330822,90,top
J4,177.298673,-101.766862,90,top
L1,123.031415,-129.145975,180,top
L2,141.944347,-124.07599,0,top
L3,123.553206,-116.700788,180,top
P1,109.176898,-99.190822,0,top
,,,,
Q3,172.127627,-109.676795,90,top
Q4,134.332675,-97.284373,90,top
Q5,134.625806,-100.913557,0,top
Q6,149.271864,-98.250984,90,top
Q7,145.561301,-100.918043,0,top
Q8,157.436898,-101.730822,180,top
R2,109.113537,-127.874442,0,top
R3,112.810523,-129.10074,0,top
R4,108.753039,-121.597083,0,top
R5,112.583176,-121.611479,0,top
R6,108.955845,-118.417196,0,top
R7,171.84154,-93.27028,0,top
R8,167.004697,-93.31367,0,top
R9,175.055406,-118.236834,180,top
R10,177.275041,-111.424291,0,top
R11,177.239154,-108.194464,0,top
,,,,
,,,,
R14,117.724918,-93.207883,0,top
R15,122.038959,-93.157719,0,top
R16,125.341984,-101.859044,90,top
R18,167.596898,-119.510822,180,top
R19,162.516898,-119.510822,0,top
R20,165.056898,-124.590822,180,top
R21,119.814478,-123.864899,-90,top
R22,129.496898,-124.590822,180,top
R23,124.416898,-124.590822,180,top
R24,129.644433,-99.396175,0,top
R25,128.796603,-94.632179,0,top
R26,141.94706,-98.588718,180,top
R27,145.622482,-98.598686,0,top
S1,141.656898,-129.670822,0,top
U1,165.056898,-101.730822,90,top
U3,119.683255,-99.022005,0,top
U4,132.080068,-109.53729,0,top
U5,144.305771,-110.439416,0,top
U6,110.371388,-124.698849,180,top
U7,174.994764,-115.297599,0,top
U8,153.759398,-121.100822,0,top
U9,128.359398,-118.560822,0,top
